Package;Category
alphahull;Color
Amelia;Imputation
anim.plots;Animation
animation;Animation
anomalize;Outliers / Time Series
archivist;workflow
autoplotly;Plots
basictabler;Tables
BETS;Time Series
Boruta;EDA
bigrquery;Big Data / Cloud
blorr;Stats
binb;Markdown
blogdown;Reports
bookdown;Markdown
breakDown;Cluster
brms;Charts
C50;Models
car;Stats
caret;Models
cartography;Maps
changepoint;Time Series
changepointsHD;Time Series
charlatan;Data / Testing
choroplethr;Maps
choroplethrMaps;Maps
chunked;Big Data
cleandata;EDA
cleanNLP;Text
clustree;Cluster
colourpicker;Color
compare;EDA
compareGroups;EDA
condformat;Tables
confinterpret;Explain
conflicted;Programming
corrr;Stats
cowplot;Plots
cr17;Models
CRANsearcher;Help
cshapes;Maps
ctv;Help
d3heatmap;Plots
d3Tree;Plots
data.table;Tables
DataCombine;EDA
dataCompareR;EDA
DataExplorer;EDA
dataMaid;Imputation
datamaps;Maps
datapasta;Tools
dataPreparation;EDA
dbplot;Plots
default;Programming
densityClust ;Cluster
descriptr;EDA / Stats
desctable;EDA
DescTools;EDA / Stats
diagram;Plots
DiagrammeR;Plots
diceR;Cluster
diffdf;EDA / Tools
diffobj;EDA / Tools
directlabels;Plots
drake;workflow
dqrng;Tools
dygraphs;Plots
echarts4r;Plots
egg;Plots
eikosograms;EDA
epubr;Text
errorist;Programming / Tools
ERSA;EDA / Stats
esquisse;EDA / Plots
extrafont;Tools / Plots
factoextra;EDA / Factorial Analysis
FFTrees;Plots
filesstrings;Tools / Files
flatxml;Tools / Files
flextable;Tables
forecTheta;Forecasting
formattable;Tables
fs;Tools / Files
funModeling;EDA / Models
futile.logger;Tools / Logs
gbm;Models
gdalUtils;Maps
geofacet;Maps
geonames;Maps
geoR;Maps
geosphere;Maps
GGally;Plots
ggalt;Plots
gganimate;Animation
ggbeeswarm;Plots
ggcorrplot;Plots
ggdistribute;Plots
ggedit;Plots
ggfittext;Plots
ggforce;Plots
ggfortify;Plots
gghighlight;Plots
ggimage;Plots
ggiraph;Plots
ggmap;Plots
ggpage;Reports
ggplotAssist;Plots
ggplotgui;Plots
ggpubr;Plots
ggraph;Plots
ggrepel;Plots
ggridges;Plots
ggsci;Plots
ggseas;Plots
ggsn;Plots
ggstance;Plots
ggstatsplot;Plots
ggtern;Plots
ggThemeAssist;Plots / Color
ggthemes;Plots / Color
ggvis;Plots
gifski;Plots / Animations
glmnet;Stats
gmodels;Models
googleLanguageR;Text / Cloud
gpclib;Maps
gridExtra;Plots
gtable;Plots
gtrendsR;Data / Cloud
heatmaply;Plot
here;Tools / Programming
hexbin;Plots
hexSticker;Plots
highcharter;Plots
Hmisc;Tools
hrbrthemes;Color
htmlwidgets;Plots
igraph;Plots
iml;Help / Models
infer;Stats
janitor;Tools / EDA
knitr;Report
komaletter;Report
koRpus;Text
lambda.tools;Models
leaflet;Maps
leaflet.minicharts;Maps
leaps;Models
lemon;Plots
lessR;Programming / Stats / Tools
liftr;Docker / Report
likert;Stats
lime;Explain
linemap;Maps
liquidSVM;Models / Stats
live;Explain
logging;Log
magick;Images
manipulate;Plots
mapdata;Maps
mapedit;Maps
mapmisc;Maps
maps;Maps
mapsapi;Maps
maptools;Maps
mapview;Maps
metricsgraphics;Plots
mi;Imputation
missForest;Imputation
mlr;Models
mschart;Report
multicolor;Programming / Tools
multiROC;Models
naniar;EDA
naturalsort;Tools
networkD3;Plots
numform;Tools
outliers;Outliers
OutliersO3;Outliers
packagefinder;Tools
padr;Time Series
paletteer;Charts
party;Models
pathological;Files
pcaMethods;Stats / Factorial Analysis
pkgdown;Documentation
PMCMRplus;Stats
pipefittr;Programming / Tools
pkggraph;Help
placement;Maps / Cloud
plotKML;Maps / Plots
plotly;Plots
plotrr;EDA
pmap;Maps
pool;Databases
PortfolioAnalytics;Time Series / Financial
postGIStools;Databases
printr;Tables / Reports
processx;Tools / System
profvis;Programming / Tools
promises;Programming
prophet;Forecasting / Time Series
psych;Tools
qdapRegex;Tools / Regex
quantmod;Models
questionr;
r2d3;Plots
R.utils;Tools
radiant;EDA
randomcoloR;Charts
randomForest;Models
randomForestExplainer;Explain
raster;Geo
rasterVis;Geo
reprex;Help
revealjs;Report
RDocumentation;Tools
rgdal;Geo
rgeos;Geo
rgl;Geo
RgoogleMaps;Maps
rio;Data
riverplot;Plots
rlang;Tools / Programming
rmarkdown;Report
rms;Stats
robets;Time Series
ROCR;Models
rpart.plot;Plot
rpostgis;Databases
rsample;Models
RTextTools;Text
rts;Geo
rtweet;Data / Cloud
rvg;Plots
rworldmap;Maps
santaR;Time Series
scanstatistics;Time Series
scatterplot3d;Plots
sessioninfo;Tools
shapefiles;Geo
shiny;UI
shinyalert;UI
shinyFeedback�;UI
sigr;EDA / Stats
Simpsons;Stats
simstudy;Data
sinew;Programming
skimr;EDA
smpic;Images
SmartEDA;EDA
snakecase;Programming / Tools
sp;Geo
spanish;
sparklyr;Big Data
